date,driver_number,meeting_key,session_key,x,y,z
2025-05-25 12:21:11.129000+00:00,16,1261,9979,-6450,-9624,0
2025-05-25 12:21:11.329000+00:00,16,1261,9979,-6451,-9606,0
2025-05-25 12:21:11.549000+00:00,16,1261,9979,-6453,-9585,0
2025-05-25 12:21:11.789000+00:00,16,1261,9979,-6455,-9561,0
2025-05-25 12:21:11.969000+00:00,16,1261,9979,-6456,-9541,0
2025-05-25 12:21:12.189000+00:00,16,1261,9979,-6459,-9505,0
2025-05-25 12:21:12.449000+00:00,16,1261,9979,-6461,-9482,0
2025-05-25 12:21:12.790000+00:00,16,1261,9979,-6466,-9419,0
2025-05-25 12:21:13.230000+00:00,16,1261,9979,-6469,-9379,0
2025-05-25 12:21:13.450000+00:00,16,1261,9979,-6473,-9347,0
2025-05-25 12:21:13.770000+00:00,16,1261,9979,-6482,-9309,0
2025-05-25 12:21:13.990000+00:00,16,1261,9979,-6501,-9271,0
2025-05-25 12:21:14.470000+00:00,16,1261,9979,-6778,-8899,0
2025-05-25 12:21:14.710000+00:00,16,1261,9979,-6790,-8878,0
2025-05-25 12:21:15.110000+00:00,16,1261,9979,-6819,-8826,0
2025-05-25 12:21:15.429000+00:00,16,1261,9979,-6836,-8790,0
2025-05-25 12:21:15.689000+00:00,16,1261,9979,-6851,-8757,0
2025-05-25 12:21:15.809000+00:00,16,1261,9979,-6858,-8741,0
2025-05-25 12:21:16.069000+00:00,16,1261,9979,-6873,-8707,0
2025-05-25 12:21:16.349000+00:00,16,1261,9979,-6888,-8671,0
2025-05-25 12:21:16.569000+00:00,16,1261,9979,-6900,-8642,0
2025-05-25 12:21:16.709000+00:00,16,1261,9979,-6908,-8624,0
2025-05-25 12:21:16.889000+00:00,16,1261,9979,-6918,-8601,0
2025-05-25 12:21:17.109000+00:00,16,1261,9979,-6929,-8573,0
2025-05-25 12:21:17.269000+00:00,16,1261,9979,-7041,-8254,0
2025-05-25 12:21:17.509000+00:00,16,1261,9979,-7050,-8223,0
2025-05-25 12:21:17.669000+00:00,16,1261,9979,-7057,-8202,0
2025-05-25 12:21:17.949000+00:00,16,1261,9979,-7072,-8150,0
2025-05-25 12:21:18.249000+00:00,16,1261,9979,-7078,-8127,0
2025-05-25 12:21:18.629000+00:00,16,1261,9979,-7092,-8079,0
2025-05-25 12:21:18.689000+00:00,16,1261,9979,-7094,-8071,0
2025-05-25 12:21:18.849000+00:00,16,1261,9979,-7100,-8051,0
2025-05-25 12:21:19.190000+00:00,16,1261,9979,-7112,-8007,0
2025-05-25 12:21:19.430000+00:00,16,1261,9979,-7125,-7961,0
2025-05-25 12:21:19.770000+00:00,16,1261,9979,-7133,-7932,0
2025-05-25 12:21:19.950000+00:00,16,1261,9979,-7139,-7909,0
2025-05-25 12:21:20.110000+00:00,16,1261,9979,-7145,-7888,0
2025-05-25 12:21:20.410000+00:00,16,1261,9979,-7225,-7575,0
2025-05-25 12:21:20.630000+00:00,16,1261,9979,-7231,-7546,0
2025-05-25 12:21:20.770000+00:00,16,1261,9979,-7235,-7527,0
2025-05-25 12:21:20.990000+00:00,16,1261,9979,-7241,-7498,0
2025-05-25 12:21:21.230000+00:00,16,1261,9979,-7248,-7467,0
2025-05-25 12:21:21.490000+00:00,16,1261,9979,-7256,-7428,0
2025-05-25 12:21:21.910000+00:00,16,1261,9979,-7277,-7367,0
2025-05-25 12:21:22.309000+00:00,16,1261,9979,-7293,-7330,0
2025-05-25 12:21:22.509000+00:00,16,1261,9979,-7310,-7293,0
2025-05-25 12:21:22.889000+00:00,16,1261,9979,-7325,-7260,0
2025-05-25 12:21:23.109000+00:00,16,1261,9979,-7379,-7157,0
2025-05-25 12:21:23.389000+00:00,16,1261,9979,-7390,-7138,0
2025-05-25 12:21:23.669000+00:00,16,1261,9979,-7408,-7106,0
2025-05-25 12:21:23.989000+00:00,16,1261,9979,-7434,-7052,0
2025-05-25 12:21:24.409000+00:00,16,1261,9979,-7452,-7006,0
2025-05-25 12:21:24.649000+00:00,16,1261,9979,-7458,-6989,0
2025-05-25 12:21:24.829000+00:00,16,1261,9979,-7465,-6967,0
2025-05-25 12:21:25.149000+00:00,16,1261,9979,-7477,-6929,0
2025-05-25 12:21:25.309000+00:00,16,1261,9979,-7488,-6895,0
2025-05-25 12:21:25.850000+00:00,16,1261,9979,-7509,-6821,0
2025-05-25 12:21:26.070000+00:00,16,1261,9979,-7525,-6771,0
2025-05-25 12:21:26.250000+00:00,16,1261,9979,-7536,-6743,0
2025-05-25 12:21:26.630000+00:00,16,1261,9979,-7547,-6716,0
2025-05-25 12:21:26.790000+00:00,16,1261,9979,-7554,-6699,0
2025-05-25 12:21:26.990000+00:00,16,1261,9979,-7566,-6671,0
2025-05-25 12:21:27.230000+00:00,16,1261,9979,-7581,-6636,0
2025-05-25 12:21:27.650000+00:00,16,1261,9979,-7591,-6611,0
2025-05-25 12:21:27.890000+00:00,16,1261,9979,-7598,-6590,0
2025-05-25 12:21:28.050000+00:00,16,1261,9979,-7603,-6576,0
2025-05-25 12:21:28.270000+00:00,16,1261,9979,-7608,-6556,0
